full_name,email,department_name
Alexander Badenhorst,alex@example.com,SQL
Courtney Cook,courtsey_of_courtney@funmail.io,MERN
Cadee Rousseau,codee.withcadee@byte.com,SQL
David Koen,teachinator.david@brainboost.edu,SQL
Ethan Hurwitz,ethanator@hackmail.com,SQL
Lindokuhle Yende,lindo.logic@neuralhub.org,SQL
Marvelous Kahundahunda,absolutely.marvelous@wow.com,SQL
Pierre Kahundahunda,pierrefect.code@bonjour.dev,SQL
Ronny Mputla,run.run.ronny@speedmail.net,SQL
Sibusiso Makhiwane,sibu.saves@galaxymail.com,SQL
Tom Vuma,tom.tornado@scriptstorm.dev,SQL
Ulrich Snyman,ultimatecoding@master.com,SQL
